city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Mangli TÄnda,30.9804,75.9671,India,IN,Punjab,,2439,2439
LÄndrÄn,30.6946,76.6651,India,IN,Punjab,,2434,2434
Talwandi DogrÄn,31.6091,74.9988,India,IN,Punjab,,2430,2430
BholÄpur,30.8898,75.9469,India,IN,Punjab,,2420,2420
Ghonghaha,24.9011,84.1404,India,IN,BihÄr,,2398,2398
Gadli,31.6051,75.0722,India,IN,Punjab,,2389,2389
Kaler MÄngat,31.7306,74.9911,India,IN,Punjab,,2383,2383
LaprÄn,30.7548,75.9322,India,IN,Punjab,,2383,2383
RÄjankunti,13.1721,77.5637,India,IN,KarnÄtaka,,2376,2376
Hurka,24.9280,84.2086,India,IN,BihÄr,,2376,2376
DhenupÄli,21.4480,83.9910,India,IN,Odisha,,2369,2369
PethkÅ«t,33.9791,74.6090,India,IN,Jammu and KashmÄ«r,,2333,2333
BilgÄh,30.8119,75.9868,India,IN,Punjab,,2331,2331
KÅ«rri,30.6044,76.7430,India,IN,Punjab,,2325,2325
Dispur,26.1500,91.7700,India,IN,Assam,admin,,
